31,.,.,10,2,8,4
32,3,.,1,4,1,4
33,.,.,1,5,8,9
34,.,.,1,4,5,6
35,4,.,1,4,7,7
36,.,.,1,1,1,7
37,4,.,1,5,1,7
38,1,.,7,4,7,4
39,1,.,9,5,1,5
40,1,.,1,4,5,3
41,.,.,8,9,9,9
42,8,8,1,7,5,8
43,10,10,1,8,10,10
44,7,7,7,5,8,10
45,8,.,1,10,7,8
46,2,1,6,1,3,5
47,4,.,1,6,5,5
48,4,7,10,8,7,9
49,1,2,7,9,1,5
50,2,1,9,2,1,2
51,.,3,1,7,1,4
52,2,2,9,3,1,6
53,6,6,9,10,8,9
54,9,4,1,6,1,7
55,.,.,1,3,1,1
56,5,.,7,4,5,1
57,6,10,10,5,1,4
58,10,.,1,6,8,7
59,8,5,10,9,7,9
60,6,7,7,7,1,4
61,1,1,1,5,3,6
62,3,1,9,2,5,10
63,1,1,8,1,3,1
64,1,5,7,2,3,1
65,5,5,10,9,5,9
66,2,5,1,1,1,3
67,.,.,1,5,3,6
68,1,2,1,2,3,4
69,1,1,1,2,1,2
70,10,5,10,10,8,10
71,5,3,7,8,8,10
72,7,5,9,6,3,1
73,3,6,7,5,5,9
74,7,9,1,7,3,9
75,6,7,6,7,3,2
76,2,2,1,1,1,1
77,2,5,1,4,1,1
78,5,9,1,5,1,3
79,9,10,1,6,3,4
80,.,1,6,5,7,8
81,3,3,1,6,5,3
82,4,2,1,5,3,3
83,5,3,1,3,3,6
84,.,6,1,8,5,6
85,10,10,10,10,5,9
86,4,1,7,1,1,1
87,3,4,8,3,3,4
88,1,1,6,1,3,2
89,4,4,8,9,3,8
90,6,5,1,7,5,4
91,3,1,1,7,5,4
92,7,7,1,7,7,7
93,10,8,10,10,10,10
94,5,3,8,5,3,4
95,7,8,8,9,8,6
96,4,7,8,2,1,7
97,1,1,1,3,3,3
98,3,5,9,1,5,2
99,6,9,1,3,1,3
100,8,3,9,9,5,3
101,2,2,6,3,3,1
102,5,6,1,4,8,6
103,3,3,7,4,1,2
104,6,2,8,10,3,4
105,9,6,1,9,9,10
106,8,4,1,9,9,9
107,7,8,1,6,1,4
108,10,9,10,10,10,9
109,8,10,1,7,9,10
110,2,6,9,2,1,4
111,6,5,1,4,7,1
112,4,3,7,3,3,1
113,10,6,1,10,9,10
114,3,6,1,2,3,2
115,2,4,9,3,5,7
116,10,10,1,9,3,8
117,4,.,10,2,7,2
118,10,10,1,3,1,1
119,7,7,6,8,9,10
120,6,9,6,6,7,8
122,7,6,1,1,10,7
123,3,10,1,1,3,1
124,7,3,1,5,7,3
125,8,7,1,6,5,9
126,6,8,1,3,8,4
127,6,4,6,9,10,9
128,4,2,7,2,7,1
129,9,8,6,4,3,7
130,8,10,1,1,10,3
131,8,8,1,3,8,5
132,6,4,1,4,9,2
134,6,7,1,8,10,9
135,6,8,9,8,7,4
136,8,10,10,4,8,7
137,9,7,1,8,9,7
138,2,2,1,2,3,5
139,3,6,1,5,7,6
140,8,3,1,5,8,8
141,.,1,.,3,10,4
142,.,1,.,1,1,1
143,.,10,.,8,10,2
144,.,1,.,5,8,1
146,.,9,.,8,8,5
147,.,9,.,5,10,7
148,.,1,.,2,8,1
149,.,8,.,1,1,1
150,.,7,.,1,3,1
152,.,7,.,8,1,7
221,7,7,6,5,1,6
222,7,9,1,8,3,5
